diode	gain [mV]		cut [photons eq]	voltage cut [mV]			rate [kHz]
e2 		12.24 $\pm$ 0.01				btw3-4					35				8.8
e1		13.68 $\pm$ 0.01				btw3-4					36				29 
c2 		7.58 $\pm$ 0.03				btw3-4					30				29.5 
c1		8.22 $\pm$ 0.03				btw3-4					25				84 
f2 		11.71 $\pm$ 0.02				btw3-4					36				7.4
f1 		12.06 $\pm$ 0.01				btw3-4					37				1.8
