V	$\mathrm{G}_{d1}$	$\mathrm{G}_{d2}$	
29	N/A	N/A
29.5	N/A	N/A
30	5.21142$\pm$0.0252494	N/A
30.5	7.12708$\pm$0.0186307	N/A
31	9.12083$\pm$0.0193933	N/A
31.5	11.0611$\pm$0.0248517	N/A
32	13.2327$\pm$0.0321714	N/A
32.5	15.4426$\pm$0.0615841	N/A
33	17.3305$\pm$0.0891903	N/A
33.5	19.5004$\pm$0.115119	N/A
34	21.2761$\pm$0.107476	
